date,description,amount
2024-01-05,Whole Foods Market,87.43
2024-01-06,Uber ride to airport,24.00
2024-01-07,Netflix subscription,15.99
2024-01-08,Electricity bill,112.50
2024-01-09,CVS Pharmacy,34.20
2024-01-10,Amazon purchase,56.78
2024-01-11,Delta Airlines ticket,320.00
2024-01-12,Starbucks coffee,6.75
2024-01-13,Gym membership,49.00
2024-01-14,Online course - Udemy,19.99
2024-01-15,Target shopping,98.32
2024-01-16,Gas station fill-up,55.00
2024-01-17,Restaurant dinner,72.40
2024-01-18,Water & sewage bill,45.00
2024-01-19,Spotify premium,9.99
